Date,Open,High,Low,Close,Adj Close,Volume
2012-01-11,71.793785,72.000038,71.100037,71.306282,48.927593,3788867
2012-01-12,71.718788,72.750038,71.587532,72.234413,49.564434,5525202
2012-01-13,72.750038,72.750038,69.750031,70.021912,48.046303,13735961
2012-01-16,70.125038,70.125038,68.812531,69.806282,47.898346,5121970
2012-01-17,69.937531,70.237534,69.112534,69.459412,47.660336,9315776
2012-01-18,70.068787,70.162537,67.500031,68.418785,46.946297,12180788
2012-01-19,68.718781,69.656281,68.531281,69.168785,47.460922,7599729
2012-01-20,69.206284,70.481285,68.550034,69.815659,47.904785,5439117
2012-01-23,69.918785,70.125038,68.259407,69.271912,47.531685,10632112
2012-01-24,69.656281,69.750031,68.718781,68.934410,47.300110,6709420
2012-01-25,69.525032,69.525032,68.362534,68.653160,47.494678,12252623
2012-01-27,69.750031,70.462532,68.625031,69.843781,48.318352,15021416
2012-01-30,69.656281,71.043785,68.737534,69.150032,47.838409,6276455
2012-01-31,70.012535,70.303162,69.056282,69.993782,48.422119,7486774
2012-02-01,69.384407,70.968788,69.234406,70.631287,48.863152,6312978
2012-02-02,71.137535,73.087540,70.603157,72.843788,50.393768,11180111
2012-02-03,73.312538,73.875038,73.031288,73.396912,50.776421,7718726
2012-02-06,74.100037,74.362534,72.187538,73.040665,50.529980,9017846
2012-02-07,73.293785,73.293785,70.743782,71.081284,49.174461,6313735
2012-02-08,70.912537,74.006287,70.875038,73.453163,50.815346,6786465
2012-02-09,73.312538,74.025040,72.187538,72.965660,50.478085,7005617
2012-02-10,73.031288,73.471909,71.475037,72.346909,50.050037,2958446
2012-02-13,72.375038,73.743790,72.290665,72.768784,50.341888,4019485
2012-02-14,72.787537,73.575035,72.075035,72.290665,50.011116,3046051
2012-02-15,72.900040,74.812538,72.421913,74.428162,51.489857,9796267
2012-02-16,74.240662,75.159409,72.037537,72.187538,49.939781,6108103
2012-02-17,72.937538,73.143784,70.443787,71.381287,49.382008,9566763
2012-02-21,71.625038,71.756287,70.556282,71.428162,49.414429,6505570
2012-02-22,71.812538,72.093788,69.768784,70.340660,48.662098,6886695
